set_name,Release Date,English Set Name,Japanese Set Name,No Rarity,1st edition,Unlimited,# in Set,Have Images?,Type of Card Done?,Japanese Name Done?,English Name Done?,Stage Done?,Type Done?,Artist Done?,Other Notes,Links
,"July 8, 2009",Arceus LV.X Deck: Grass & Fire,構築スタンダードデッキ アルセウスLV.X 草&炎,,,,,,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Arceus_LV.X_Deck:_Grass_%26_Fire_(TCG)
,"July 8, 2009",Arceus LV.X Deck: Lightning & Psychic,構築スタンダードデッキ アルセウスLV.X 雷&超,,,,,,No,No,Yes,No,No,No,,
,"July 11, 2009",Pokémon Battle Tour 09 Challenge Deck,ポケモンバトルツアー09 チャレンジデッキ,,,,,,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Battle_Tour_09_Challenge_Deck_(TCG)
,"July 18, 2009",Movie Commemoration Random Pack,映画公開記念ランダムパック,,,,,100%,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Movie_Commemoration_Random_Pack_(TCG)
LEGEND Era,,,,,,,,,,,,,,,,
L-P,September 2009 - August 2010,L-P Promotional cards,,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/L-P_Promotional_cards_(TCG)
L1HG,"October 9, 2009",HeartGold Collection,ハートゴールドコレクション,,Yes,,,0%,No,No,Yes,No,No,No,"This Japanese set was only printed in 1st edition, with all cards (including the Ultra Rare Pokémon Prime cards) also available as Reverse Holos",
L1SS,"October 9, 2009",SoulSilver Collection,ソウルシルバーコレクション,,Yes,,,0%,No,No,Yes,No,No,No,"This Japanese set was only printed in 1st edition, with all cards (including the Ultra Rare Pokémon Prime cards) also available as Reverse Holos",
E,"Nov 20, 2009",Leafeon vs Metagross Expert Deck - Leafeon Deck,エキスパートデッキ リーフィアVSメタグロス,,,Yes,,,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Leafeon_vs_Metagross_Expert_Deck_(TCG)
E,"Nov 20, 2009",Leafeon vs Metagross Expert Deck - Metagross Deck,エキスパートデッキ リーフィアVSメタグロス,,,Yes,,,No,No,Yes,No,No,No,,
L2,"February 11, 2010",Reviving Legends,よみがえる伝説,,Yes,Yes,,0%,No,No,Yes,No,No,No,"The Reviving Legends set is only released in Japanese, in both 1st and unlimited edition. All cards in this Japanese set, including the Pokémon Prime cards, were also available as Reverse Holos.",
B,"Nov 20, 2009",Battle Starter Deck - Torterra,バトルスタートデッキ,,,Yes,,,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Battle_Starter_Decks_(TCG)
B,"Nov 20, 2009",Battle Starter Deck - Raichu,バトルスタートデッキ,,,Yes,,,No,No,Yes,No,No,No,,
B,"Nov 20, 2009",Battle Starter Deck - Magmortar,バトルスタートデッキ,,,Yes,,,No,No,Yes,No,No,No,,
B,"Nov 20, 2009",Battle Starter Deck - Blastoise,バトルスタートデッキ,,,Yes,,,No,No,Yes,No,No,No,,
L2T,"Feb 11, 2010",Tyranitar Constructed Standard Deck,構築スタンダードデッキ バンギラス悪,,,Yes,,,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Tyranitar_Constructed_Standard_Deck_(TCG)
L2S,"Feb 11, 2010",Steelix Constructed Standard Deck,構築スタンダードデッキ ハガネール鋼,,,Yes,,,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Steelix_Constructed_Standard_Deck_(TCG)
LL,"April 16, 2010",Lost Link,ロストリンク,,,,,0%,No,No,Yes,No,No,No,,
L3,"July 8, 2010",Clash at the Summit,頂上大激突,,Yes,Yes,,0%,No,No,Yes,No,No,No,"The Clash at the Summit set is only released in Japanese, in both 1st and unlimited edition. All cards in this Japanese set, including the Pokémon Prime cards, were also available as Reverse Holos.",
BW Era,,,,,,,,,,,,,,,,
BW-P,December 2010 - September 2013,BW-P Promotional cards,,,,Yes,,99%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/BW-P_Promotional_cards_(TCG)
CS1,"September 18, 2010",Collection Sheet Journey Partners,コレクションシート 旅立ちの仲間,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/McDonald%27s_Collection_(TCG)
HS,"Oct 29, 2010",Beginning Set,はじめてセット,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,
BW1b,"December 17, 2010",Black Cillection,ブラックコレクション ,,Yes,Yes,,97%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Black_%26_White_(TCG)
BW1w,,White Collection,ホワイトコレクション,,Yes,Yes,,97%,Yes,Yes,Yes,Yes,Yes,Yes,,
BKv,"Mar 18, 2011",Virizion Battle Strength Deck,バトル強化デッキ,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Battle_Strength_Decks_(TCG)
BKt,"Mar 18, 2011",Terrakion Battle Strength Deck,バトル強化デッキ,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
BKc,"Mar 18, 2011",Cobalion Battle Strength Deck,バトル強化デッキ,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
BTV,"Jun 17, 2011",Victini Battle Theme Deck, バトルテーマデッキ ビクティニ,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Battle_Theme_Deck:_Victini_(TCG)
BW2,"July 15, 2011",Red Collection,レッドコレクション,,Yes,Yes,,97%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Noble_Victories_(TCG)
HS+,"Aug 05, 2011",Beginning Set +,はじめてセット,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Beginning_Set_(TCG)
BW3p,"September 16, 2011",Psycho Drive,サイコドライブ,,Yes,Yes,,97%,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Next_Destinies_(TCG)
BW3h,"September 16, 2011",Hail Blizzard,ヘイルブリザード,,Yes,Yes,,97%,,,,,,,,
BKZ,"Oct 21, 2011",Zekrom-EX Battle Strength Deck,バトル強化デッキ６０「ゼクロムＥＸ」,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Zekrom-EX_Battle_Strength_Deck_(TCG)
BKR,"Oct 21, 2011",Reshiram-EX Battle Strength Deck,バトル強化デッキ６０「レシラムＥＸ」,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Reshiram-EX_Battle_Strength_Deck_(TCG)
BGS,"Nov 18, 2011",Thundurus vs Tornadus Battle Gift Set,バトルギフトセット「ボルトロスＶＳトルネロス」,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Battle_Gift_Set:_Thundurus_vs_Tornadus_(TCG)
HSP,"Nov 18, 2011",Beginning Set Pikachu,はじめてセット,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Beginning_Set_(TCG)
BW4,"December 16, 2011",Dark Rush,ダークラッシュ,,Yes,Yes,,97%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Dark_Explorers_(TCG)
DS,"January 27, 2012",Expansion Pack Dragon Selection,拡張パック ドラゴンセレクション,,Yes,,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Dragon_Vault_(TCG)
BW5z,"March 16, 2012",Dragon Blast,リューズブラスト,,Yes,Yes,,97%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Dragons_Exalted_(TCG)
BW5n,"March 16, 2012",Dragon Blade,リューノブレード,,Yes,Yes,,97%,Yes,Yes,Yes,Yes,Yes,Yes,,
SZD,"March 16, 2012",Hydreigon Half Deck,サザンドラデッキ30,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Hydreigon_Half_Deck_(TCG)
GBR,"March 16, 2012",Garchomp Half Deck,ガブリアスデッキ30,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Garchomp_Half_Deck_(TCG)
KLD,"Apr 20, 2012",Keldeo Battle Strength Deck,バトル強化デッキ30 ケルディオ,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Keldeo_Battle_Strength_Deck_(TCG)
HSZ,"Apr 20, 2012",National Pokédex Beginning Set,はじめてセット 全国図鑑版セット,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/National_Beginning_Set_(TCG)
BW6f,"July 13, 2012",Freeze Bolt,フリーズボルト,,Yes,Yes,,97%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Boundaries_Crossed_(TCG)
BW6c,"July 13, 2012",Cold Flare,コールドフレア,,Yes,Yes,,97%,Yes,Yes,Yes,Yes,Yes,Yes,,
BW7,"September 14, 2012",Plasma Gale,プラズマゲイル,,Yes,Yes,,97%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Plasma_Storm_(TCG)
PPD,"Sep 14, 2012",Team Plasma Powered Half Deck,プラズマ団パワードデッキ30,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Team_Plasma%27s_Powered_Half_Deck_(TCG)
MDB,"Sep 14, 2012",Master Deck Build Box EX,トッププレイヤーが選ぶ100＋40枚　マスターデッキビルドBOX EX,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Master_Deck_Build_Box_EX_(TCG)
BKW,"Oct 19, 2012",White Kyurem-EX Battle Strength Deck,バトル強化デッキ６０ ホワイトキュレムＥＸ,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/White_Kyurem-EX_Battle_Strength_Deck_(TCG)
BKB,"Oct 19, 2012",Black Kyurem-EX Battle Strength Deck,バトル強化デッキ６０ ブラックキュレムＥＸ,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Black_Kyurem-EX_Battle_Strength_Deck_(TCG)
PBG,"Nov 16, 2012",Team Plasma Battle Gift Set,プラズマ団バトルギフトセット,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Team_Plasma_Battle_Gift_Set_(TCG)
WAK,"Nov 16, 2012",Everyone's Exciting Battle,みんなのWAKUWAKUバトル,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Everyone%27s_Exciting_Battle_(TCG)
BW8f,"December 14, 2012",Spiral Force,ラセンフォース,,Yes,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Plasma_Freeze_(TCG)
BW8n,"December 14, 2012",Thunder Knuckle,ライデンナックル ,,Yes,Yes,,,,,,,,,,
SC,"Feb 1, 2013",Shiny Collection,コンセプトパック シャイニーコレクション,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Shiny_Collection_(TCG)
BW9,"March 15, 2013",Megalo Cannon,メガロキャノン,,Yes,Yes,,97%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Plasma_Blast_(TCG)
K+K,"Mar 15, 2013",Blastoise + Kyurem-EX Combo Deck,最強爆流コンボデッキ60 カメックス＋キュレムEX,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Blastoise_%2B_Kyurem-EX_Combo_Deck_(TCG)
EBB,"Jul 13, 2013",EX Battle Boost,コンセプトパック EXバトルブースト,,Yes,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG)
MG,"Jul 13, 2013",Mewtwo vs Genesect Deck Kit - Mewtwo,30枚デッキ対戦set ミュウツーVSゲノセクト,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Mewtwo_vs_Genesect_Deck_Kit_(TCG)
MG,"Jul 13, 2013",Mewtwo vs Genesect Deck Kit - Genesect,30枚デッキ対戦set ミュウツーVSゲノセクト,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,
XY Era,,,,,,,,,,,,,,,,
XY-P,August 2013 - February 2017,XY-P Promotional cards,,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/XY-P_Promotional_cards_(TCG)
HXY,"November 8, 2013",Beginning Set,はじめてセット,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Kalos_Starter_Set_(TCG)
XY01,"December 13, 2013",Collection X,コレクションX,,Yes,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/XY_(TCG)
XY01,"December 13, 2013",Collection Y,コレクションY,,Yes,Yes,,,,,,,,,,
X30,"January 31, 2014",Xerneas Half Deck,ゼルネアスデッキ30,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Xerneas_Half_Deck_(TCG)
Y30,"January 31, 2014",Yveltal Half Deck,イベルタルデッキ30 ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Yveltal_Half_Deck_(TCG)
XY02,"March 15, 2014",Wild Blaze,ワイルドブレイズ,,Yes,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Flashfire_(TCG)
XYA,"March 15, 2014",M Charizard-EX Mega Battle Deck,メガバトルデッキ60 MリザードンEX,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/M_Charizard-EX_Mega_Battle_Deck_(TCG)
XY03,"June 14, 2014",Rising Fist,ライジングフィスト,,Yes,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Furious_Fists_(TCG)
XY04,"September 13, 2014",Phantom Gate,ファントムゲート,,Yes,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Phantom_Forces_(TCG)
XYB,"September 13, 2014",Hyper Metal Chain Deck DialgaEX+GillgardEX,ハイパーメタルチェーンデッキ60 ディアルガEX +ギルガルドEX,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Hyper_Metal_Chain_Deck_(TCG)
XYC,"November 14, 2014",Super Legend Set: Xerneas-EX & Yveltal-EX,スーパーレジェンドセット60 ゼルネアスEX・イベルタルEX,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Super_Legend_Set:_Xerneas-EX_%26_Yveltal-EX_(TCG)
XY05,"December 13, 2014",Gaia Volcano,ガイアボルケーノ,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Primal_Clash_(TCG)
XY05,"December 13, 2014",Tidal Storm,タイダルストーム,,,,,,,,,,,,,
CP1,"January 30, 2015",Magma Gang VS Aqua Gang: Double Crisis,コンセプトパック マグマ団VSアクア団 ダブルクライシス,,Yes,,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Double_Crisis_(TCG)
XY06,"March 14, 2015",Emerald Break,エメラルドブレイク,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Roaring_Skies_(TCG)
XYD,"March 14, 2015",Mega Battle Deck 60 MRayquazaEX,メガバトルデッキ60 MレックウザEX,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/M_Rayquaza-EX_Mega_Battle_Deck_(TCG)
XY07,"June 20, 2015",Bandit Ring,バンデットリング ,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Ancient_Origins_(TCG)
CP2,"July 18, 2015",Legendary Shine Collection,コンセプトパック 伝説キラコレクション,,Yes,,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Legendary_Shine_Collection_(TCG)
XYE,"July 18, 2015",Competition Start Set 30 Enbuoh-EX VS Togekiss-EX,対戦スタートセット30「エンブオーEX VS トゲキッスEX」,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Emboar-EX_vs_Togekiss-EX_Deck_Kit_(TCG)
MMB,"August 7, 2015",M Master Deck Build Box Power Style,MマスターデッキビルドBOX パワースタイル,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/M_Master_Deck_Build_Box_Power_Style_(TCG)
MMB,"August 7, 2015",M Master Deck Build Box Speed Style,MマスターデッキビルドBOX スピードスタイル,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/M_Master_Deck_Build_Box_Speed_Style_(TCG)
XY BREAK Era,,,,,,,,,,,,,,,,
XY08,"September 26, 2015",Blue Shock,青い衝撃,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/BREAKthrough_(TCG)
XY08,"September 26, 2015",Red Flash,赤い閃光,,,,,,,,,,,,,
SNP,"September 26, 2015",BREAK Evolution Pack RaichuBREAK,BREAK進化パック ライチュウBREAK,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Raichu_BREAK_Evolution_Pack_(TCG)
SNP,"September 26, 2015",BREAK Evolution Pack OnvernBREAK,BREAK進化パック「オンバーンBREAK」,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Noivern_BREAK_Evolution_Pack_(TCG)
XYF,"October 9, 2015",BREAK Combo Deck 60 GolduckBREAK+PalkiaEX,BREAKコンボデッキ60ゴルダックBREAK+パルキアEX,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Golduck_BREAK_%2B_Palkia-EX_Combo_Deck_(TCG)
XY09,"December 11, 2015",Rage of the Broken Heavens,破天の怒り,,,,,,,,,,,,,
CP3,"January 29, 2016",PokéKyun Collection,コンセプトパック ポケキュンコレクション,,Yes,,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9Kyun_Collection_(TCG)
20th,"February 27, 2016",Starter Pack,スターターパック,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Generations_(TCG)
XY10,"March 18, 2016",Awakening Psychic King,めざめる超王,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Fates_Collide_(TCG)
XYG,"March 18, 2016",Perfect Battle Deck 60 ZygardeEX,パーフェクトバトルデッキ60 ジガルデEX,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Zygarde-EX_Perfect_Battle_Deck_(TCG)
XYH,"March 18, 2016",Mega Battle Deck 60 MTabunneEX,メガバトルデッキ60 MメガタブンネEX,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/M_Audino-EX_Mega_Battle_Deck_(TCG)
CP4,"April 16, 2016",Premium Champion Pack: EX×M×BREAK,プレミアムチャンピオンパック EX×M×BREAK,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Premium_Champion_Pack_(TCG)
XY11,"June 17, 2016",Fever-Burst Fighter,爆熱の闘士,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Steam_Siege_(TCG)
XY11,"June 17, 2016",Cruel Traitor,冷酷の反逆者,,,,,,,,,,,,,
CP5,"July 16, 2016",Mythical & Legendary Dream Shine Collection,コンセプトパック 幻・伝説ドリームキラコレクション,,Yes,,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,
CP6,"September 16, 2016",Expansion Pack 20th Anniversary,コンセプトパック ポケットモンスターカードゲーム 拡張パック 20th Anniversary,,Yes,,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,
XY,"April 21, 2017",High Class Pack THE BEST OF XY,ハイクラスパック THE BEST OF XY,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/The_Best_of_XY_(TCG)
Sun & Moon Era,,,,,,,,,,,,,,,,
SM-P,November 2016 - October 2019,SM-P Promotional cards,,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/SM-P_Promotional_cards_(TCG)
SM0,"November 18, 2016",Pikachu's New Friends Collection,ピカチュウと新しい仲間たち,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Pikachu%27s_New_Friends_(TCG)
SM1S,"December 9, 2016",Collection Sun,コレクションサン,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Sun_%26_Moon_(TCG)
SM1M,"December 9, 2016",Collection Moon,コレクションムーン,,,Yes,,,,,,,,,,
SMA,"December 9, 2016",Sun & Moon Starter Set,スターターセット,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Sun_%26_Moon_Starter_Set_(TCG)
SMB,"December 9, 2016",Premium Trainer Box,プレミアムトレーナーボックス,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Premium_Trainer_Box_(TCG)
SMP1,"December 15, 2016",Rockruff Full Power Deck,イワンコ全力デッキ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Rockruff_Full_Power_Deck_(TCG)
SM1+,"January 27, 2017",Enhanced Expansion Pack Sun & Moon,強化拡張パック サン＆ムーン,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Enhanced_Expansion_Pack_Sun_%26_Moon_(TCG)
SM2K,"March 17, 2017",Islands Await You,キミを待つ島々,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Guardians_Rising_(TCG)
SM2L,"March 17, 2017",Alolan Moonlight,アローラの月光,,,Yes,,,,,,,,,,
SMC,"March 17, 2017",Tapu Bulu-GX Enhanced Starter Set,スターターセット改造 カプ・ブルルGX,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Tapu_Bulu-GX_Enhanced_Starter_Set_(TCG)
SM2+,"April 21, 2017",Enhanced Expansion Pack Facing a New Trial,強化拡張パック 新たなる試練の向こう,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Facing_a_New_Trial_(TCG)
SMD,"April 21, 2017",30-Card Deck Competition Set Ash vs Team Rocket,30枚デッキ対戦セット「サトシVSロケット団」,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Ash_vs_Team_Rocket_Deck_Kit_(TCG)
SM3H,"June 16, 2017",To Have Seen the Battle Rainbow,闘う虹を見たか,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Burning_Shadows_(TCG)
SM3N,"June 16, 2017",Darkness that Consumes Light),光を喰らう闇,,,Yes,,,,,,,,,,
SM3+,"July 15, 2017",Enhanced Expansion Pack Shining Legends,強化拡張パック ひかる伝説,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Shining_Legends_(TCG)
SM4S,"September 15, 2017",Awakened Heroes,覚醒の勇者,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Crimson_Invasion_(TCG)
SM4A,"September 15, 2017",Ultradimensional Beasts,超次元の暴獣,,,Yes,,,,,,,,,,
SM4+,"October 20, 2017",High Class Pack GX Battle Boost,ハイクラスパックGXバトルブースト,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/GX_Battle_Boost_(TCG)
SME,"November 10, 2017",Solgaleo-GX & Lunala-GX Legendary Starter Set ,スターターセット伝説 ソルガレオGX ルナアーラGX,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Solgaleo-GX_%26_Lunala-GX_Legendary_Starter_Set_(TCG)
SM5S,"December 8, 2017",Ultra Sun,ウルトラサン,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Ultra_Prism_(TCG)
SM5M,"December 8, 2017",Ultra Moon,ウルトラムーン,,,Yes,,,,,,,,,,
SMF,"December 8, 2017",Ultra Sun & Ultra Moon Premium Trainer Box,プレミアムトレーナーボックス ウルトラサン・ウルトラムーン,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Ultra_Sun_%26_Ultra_Moon_Premium_Trainer_Box_(TCG)
SM5+,"January 19, 2018",Enhanced Expansion Pack Ultra Force,強化拡張パック ウルトラフォース,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Ultra_Force_(TCG)
SMG,"February 16, 2018",Ultra Sun & Ultra Moon Deck Build Boxes,"デッキビルドBOX「ウルトラサン」
デッキビルドBOX「ウルトラムーン」",,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Ultra_Sun_%26_Ultra_Moon_Deck_Build_Boxes_(TCG)
SM6,"March 2, 2018",Forbidden Light,禁断の光,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Forbidden_Light_(TCG)
SM6a,"April 6, 2018",Enhanced Expansion Pack Dragon Storm,強化拡張パック ドラゴンストーム,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Dragon_Majesty_(TCG)
SM6b,"May 3, 2018",Enhanced Expansion Pack Champion Road,強化拡張パック チャンピオンロード,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Champion_Road_(TCG)
SM7,"June 1, 2018",Sky-Splitting Charisma,裂空のカリスマ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Celestial_Storm_(TCG)
SM7a,"July 6, 2018",Enhanced Expansion Pack Thunderclap Spark,強化拡張パック 迅雷スパーク,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Thunderclap_Spark_(TCG)
SMH,"July 13, 2018",GX Starter Decks,GXスタートデッキ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/GX_Starter_Decks_(TCG)
SM7b,"August 3, 2018",Enhanced Expansion Pack Fairy Rise,強化拡張パック フェアリーライズ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Fairy_Rise_(TCG)
SM8,"September 7, 2018",Super-Burst Impact,超爆インパクト,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Lost_Thunder_(TCG)
SM8a,"October 5, 2018",Enhanced Expansion Pack Dark Order,強化拡張パック ダークオーダー,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Dark_Order_(TCG)
SM8b,"November 2, 2018",High Class Pack GX Ultra Shiny,ハイクラスパック GXウルトラシャイニー,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Hidden_Fates_(TCG)
