set_name,Release Date,English Set Name,Japanese Set Name,No Rarity,1st edition,Unlimited,# in Set,Have Images?,Type of Card Done?,Japanese Name Done?,English Name Done?,Stage Done?,Type Done?,Artist Done?,Other Notes,Links
SMI,"November 23, 2018",Eevee-GX Starter Sets,イーブイGX スターターセット,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Eevee-GX_Starter_Sets_(TCG)
SM9,"December 7, 2018",Tag Bolt,タッグボルト,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Team_Up_(TCG)
SMJ,"December 7, 2018",Tag Team GX Premium Trainer Box,プレミアムトレーナーボックス TAG TEAM GX,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Tag_Team_GX_Premium_Trainer_Box_(TCG)
SM9a,"January 11, 2019",Enhanced Expansion Pack Night Unison,強化拡張パック ナイトユニゾン,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Night_Unison_(TCG)
SMK,"January 25, 2019",Trainer Battle Decks ,トレーナーバトルデッキ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Trainer_Battle_Decks_(TCG)
SM10,"March 1, 2019",Double Blaze,ダブルブレイズ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Unbroken_Bonds_(TCG)
SMN,"March 1, 2019",Tag Team GX Deck Build Box,デッキビルドBOX「TAG TEAM GX」,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Tag_Team_GX_Deck_Build_Box_(TCG)
SML,"March 15, 2019",Family Pokémon Card Game,ファミリーポケモンカードゲーム,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Sun_%26_Moon_Family_Pok%C3%A9mon_Card_Game_(TCG)
SM10a,"April 5, 2019",Enhanced Expansion Pack GG End,強化拡張パック ジージーエンド,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/GG_End_(TCG)
SM10b,"April 26, 2019",Enhanced Expansion Pack Sky Legend,強化拡張パック スカイレジェンド,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Sky_Legend_(TCG)
SMP2,"April 26, 2019",Movie Special Pack Great Detective Pikachu,ムービースペシャルパック 名探偵ピカチュウ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Detective_Pikachu_(TCG)
SM11,"May 31, 2019",Miracle Twin,ミラクルツイン,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Unified_Minds_(TCG)
SMM,"May 31, 2019",Tag Team GX Starter Sets,スターターセット TAG TEAM GX,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Tag_Team_GX_Starter_Sets_(TCG)
SM11a,"July 5, 2019",Enhanced Expansion Pack Remix Bout,強化拡張パック リミックスバウト,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Remix_Bout_(TCG)
SM11b,"August 2, 2019",Enhanced Expansion Pack Dream League,強化拡張パック ドリームリーグ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Dream_League_(TCG)
SM12,"September 6, 2019",Alter Genesis,オルタージェネシス,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Cosmic_Eclipse_(TCG)
SM12a,"October 4, 2019",High Class Pack TAG TEAM GX: Tag All Stars,ハイクラスパック TAG TEAM GX タッグオールスターズ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Tag_All_Stars_(TCG)
BWXY,"October 4, 2019",Extra Regulation Box,エクストラレギュレーションBOX,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Extra_Regulation_Box_(TCG)
Sword & Shield Era,,,,,,,,,,,,,,,,
S-P,November 2019 - Present,S-P Promotional cards,,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/S-P_Promotional_cards_(TCG)
SA,"November 29, 2019",V Starter Set Grass,スターターセットV 草,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/V_Starter_Sets_(TCG)
SA,"November 29, 2019",V Starter Set Fire,スターターセットV 炎,,,Yes,,,,,,,,,,
SA,"November 29, 2019",V Starter Set Water,スターターセットV 水,,,Yes,,,,,,,,,,
SA,"November 29, 2019",V Starter Set Lightning,スターターセットV 雷,,,Yes,,,,,,,,,,
SA,"November 29, 2019",V Starter Set Fighting,スターターセットV 闘,,,Yes,,,,,,,,,,
S1,"December 6, 2019",Sword ,ソード,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Sword_%26_Shield_(TCG)
S1,"December 6, 2019",Shield,シールド,,,Yes,,,,,,,,,,
SB,"December 6, 2019",Sword & Shield Premium Trainer Box ,プレミアムトレーナーボックス　ソード＆シールド,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Sword_%26_Shield_Premium_Trainer_Box_(TCG)
SP1,"December 27, 2019",Zacian + Zamazenta Box,ザシアン＋ザマゼンタBOX,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Zacian_%2B_Zamazenta_Box_(TCG)
S1a,"February 7, 2020",Enhanced Expansion Pack: VMAX Rising,強化拡張パック VMAXライジング,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/VMAX_Rising_(TCG)
S2,"March 6, 2020",Rebellion Crash,反逆クラッシュ,,,Yes,,,,,,,,,,
SC,"March 27, 2020",Charizard VMAX Starter Set,スターターセットVMAX リザードン,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Charizard_%26_Grimmsnarl_VMAX_Starter_Sets_(TCG)
SC,"March 27, 2020",Grimmsnarl VMAX Starter Set,スターターセットVMAX オーロンゲ,,,Yes,,,,,,,,,,
S2a,"April 24, 2020",Enhanced Expansion Pack: Explosive Walker,強化拡張パック 爆炎ウォーカー,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Explosive_Walker_(TCG)
SC2,"December 4, 2020",Charizard VMAX Starter Set 2,スターターセットVMAX リザードン 2,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Charizard_%26_Grimmsnarl_VMAX_Starter_Sets_(TCG)
S3,"June 5, 2020",Infinity Zone,ムゲンゾーン ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Darkness_Ablaze_(TCG)
S3a,"July 10, 2020",Enhanced Expansion Pack: Legendary Heartbeat,強化拡張パック 伝説の鼓動,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Legendary_Heartbeat_(TCG)
SD,"July 10, 2020",V Starter Decks,Vスタートデッキ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/V_Starter_Decks_(TCG)
S4,"September 18, 2020",Amazing Volt Tackle,仰天のボルテッカー,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Vivid_Voltage_(TCG)
SP2,"October 23, 2020",VMAX Special Set,VMAXスペシャルセット,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/VMAX_Special_Set_(TCG)
S4a,"November 20, 2020",High Class Pack Shiny Star V,ハイクラスパック シャイニースターV,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Shining_Fates_(TCG)
SEF,"December 4, 2020",Venusaur VMAX Starter Set,スターターセットVMAX フシギバナ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Venusaur_%26_Blastoise_VMAX_Starter_Sets_(TCG)
SEK,"December 4, 2020",Blastoise VMAX Starter Set,スターターセットVMAX カメックス,,,Yes,,,,,,,,,,
S5I,"January 22, 2021",Single Strike Master,一撃マスター,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Battle_Styles_(TCG)
S5R,"January 22, 2021",Rapid Strike Master,連撃マスター,,,Yes,,,,,,,,,,
SF,"January 22, 2021",Single Strike & Rapid Strike Premium Trainer Boxes,"プレミアムトレーナーボックス ICHIGEKI
プレミアムトレーナーボックス RENGEKI",,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Single_Strike_%26_Rapid_Strike_Premium_Trainer_Boxes_(TCG)
S5a,"March 19, 2021",Enhanced Expansion Pack: Peerless Fighters,強化拡張パック 双璧のファイター,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Peerless_Fighters_(TCG)
S6H,"April 23, 2021",Silver Lance,白銀のランス,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Chilling_Reign_(TCG)
S6K,"April 23, 2021",Jet-Black Spirit,漆黒のガイスト,,,Yes,,,,,,,,,,
SP3,"April 23, 2021",Silver Lance & Jet-Black Spirit Jumbo Pack Set,ジャンボパックセット 白銀のランス＆漆黒のガイスト,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Silver_Lance_%26_Jet-Black_Spirit_Jumbo_Pack_Set_(TCG)
S6a,"May 28, 2021",Enhanced Expansion Pack: Eevee Heroes,強化拡張パック イーブイヒーローズ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Eevee_Heroes_(TCG)
SP4,"May 28, 2021",Eevee Heroes VMAX Special Set,VMAXスペシャルセット イーブイヒーローズ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Eevee_Heroes_VMAX_Special_Set_(TCG)
SGG,"May 28, 2021",Gengar VMAX High-Class Deck,ハイクラスデッキ ゲンガーVMAX,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/High-Class_Decks_(TCG)
SGI,"May 28, 2021",Inteleon VMAX High-Class Deck,ハイクラスデッキ インテレオンVMAX,,,Yes,,,,,,,,,,
S7D,"July 9, 2021",Skyscraping Perfection,摩天パーフェクト,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Evolving_Skies_(TCG)
S7R,"July 9, 2021",Blue Sky Stream,蒼空ストリーム,,,Yes,,,,,,,,,,
SH,"July 9, 2021",Family Pokémon Card Game,ファミリーポケモンカードゲーム,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Sword_%26_Shield_Family_Pok%C3%A9mon_Card_Game_(TCG)
SP5,"August 20, 2021",V-UNION Special Card Sets,スペシャルカードセット,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/V-UNION_Special_Card_Sets_(TCG)
S8,"September 24, 2021",Fusion Arts,フュージョンアーツ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Fusion_Strike_(TCG)
S8a,"October 22, 2021",25th Anniversary Collection,25th アニバーサリーコレクション,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Celebrations_(TCG)
S8a-P,"October 22, 2021",Promo Card Pack 25th Anniversary Edition,プロモカードパック 25th ANNIVERSARY edition,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Promo_Card_Pack_25th_Anniversary_Edition_(TCG)
SJ,"November 5, 2021",Zacian & Zamazenta vs Eternatus Special Deck Set,スペシャルデッキセット ザシアン・ザマゼンタ vs ムゲンダイナ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Zacian_%26_Zamazenta_vs_Eternatus_Special_Deck_Set_(TCG)
S8b,"December 3, 2021",High Class Pack VMAX Climax,ハイクラスパック VMAXクライマックス,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/VMAX_Climax_(TCG)
SI,"December 17, 2021",Start Deck 100,スタートデッキ100,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Start_Deck_100_(TCG)
S8a-G,December 2021,25th Anniversary Golden Box,,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/25th_Anniversary_Golden_Box_(TCG)
S9,"January 14, 2022",Star Birth,スターバース,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Brilliant_Stars_(TCG)
SK,"January 14, 2022",VSTAR Premium Trainer Box,プレミアムトレーナーボックス VSTAR,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/VSTAR_Premium_Trainer_Box_(TCG)
S9a,"February 25, 2022",Enhanced Expansion Pack: Battle Region,強化拡張パック バトルリージョン,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Battle_Region_(TCG)
SLL,"February 25, 2022",Lucario VSTAR Starter Set,スターターセットVSTAR ルカリオ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/VSTAR_Starter_Sets_(TCG)
SLD,"February 25, 2022",Darkrai VSTAR Starter Set,スターターセットVMAX ダークライ,,,Yes,,,,,,,,,,
SN,March 2022,Start Deck 100 CoroCoro Comic Version,スタートデッキ100 コロコロコミックver.,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Start_Deck_100_CoroCoro_Comic_Version_(TCG)
S10D,"April 8, 2022",Time Gazer,タイムゲイザー,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Astral_Radiance_(TCG)
S10P,"April 8, 2022",Space Juggler,スペースジャグラー,,,Yes,,,,,,,,,,
S10a,"May 13, 2022",Enhanced Expansion Pack: Dark Phantasma,強化拡張パック ダークファンタズマ,,,Yes,,100%,Yes,Yes,Yes,Yes,Yes,Yes,,https://bulbapedia.bulbagarden.net/wiki/Dark_Phantasma_(TCG)
S10b,"June 17, 2022",Enhanced Expansion Pack: Pokémon GO,強化拡張パック Pokémon GO,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_GO_(TCG)
S11,"July 15, 2022",Lost Abyss,ロストアビス,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Lost_Origin_(TCG)
SPZ,"July 15, 2022",Zeraora VSTAR & VMAX High-Class Deck,VSTAR&VMAX ハイクラスデッキ ゼラオラ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/VSTAR_%26_VMAX_High-Class_Decks_(TCG)
SPD,"July 15, 2022",Deoxys VSTAR & VMAX High-Class Deck,VSTAR&VMAX ハイクラスデッキ デオキシス,,,Yes,,,,,,,,,,
SP6,"August 5, 2022",VSTAR Special Set,VSTARスペシャルセット,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/VSTAR_Special_Set_(TCG)
S11a,"September 2, 2022",Enhanced Expansion Pack: Incandescent Arcana,強化拡張パック 白熱のアルカナ,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Incandescent_Arcana_(TCG)
S12,"October 21, 2022",Paradigm Trigger,パラダイムトリガー,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Silver_Tempest_(TCG)
SO,"November 4, 2022",Charizard VSTAR vs Rayquaza VMAX Special Deck Set,スペシャルデッキセット リザードンVSTAR vs レックウザVMAX,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Charizard_VSTAR_vs_Rayquaza_VMAX_Special_Deck_Set_(TCG)
S12a,"December 2, 2022",High Class Pack VSTAR Universe,ハイクラスパック VSTARユニバース,,,Yes,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Crown_Zenith_(TCG)
Scarlet & Violet Era,,,,,,,,,,,,,,,,
SV-P,"November 18, 2022 - Present",SV-P Promotional cards,,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/SV-P_Promotional_cards_(TCG)
SV1S,"January 20, 2023",Scarlet ex,スカーレットex,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Scarlet_%26_Violet_(TCG)
SV1V,"January 20, 2023",Violet ex,バイオレットex,,,,,,,,,,,,,
SVAM,"January 20, 2023",ex Starter Set Sprigatito & Lucario ex,スターターセットex ニャオハ＆ルカリオex,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Ex_Starter_Sets_(TCG)
SVAL,"January 20, 2023",ex Starter Set Fuecoco & Ampharos ex,スターターセットex ホゲータ＆デンリュウex,,,,,,,,,,,,,
SVAW,"January 20, 2023",ex Starter Set Quaxly & Mimikyu ex,スターターセットex クワッス＆ミミッキュex,,,,,,,,,,,,,
SVB,"January 20, 2023",Premium Trainer Box ex,プレミアムトレーナーボックスex,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Premium_Trainer_Box_ex_(TCG)
SV1a,"March 10, 2023",Enhanced Expansion Pack: Triplet Beat,強化拡張パック トリプレットビート,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Triplet_Beat_(TCG)
SVC,"March 24, 2023",ex Starter Set Pikachu ex & Pawmot,スターターセットex ピカチュウex&パーモット,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Ex_Starter_Set_Pikachu_ex_%26_Pawmot_(TCG)
SV2P,"April 14, 2023",Snow Hazard,スノーハザード,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Paldea_Evolved_(TCG)
SV2D,"April 14, 2023",Clay Burst,クレイバースト,,,,,,,,,,,,,
SVP1,"May 19, 2023",ex Special Set,exスペシャルセット,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Ex_Special_Set_(TCG)
SV2a,"June 16, 2023",Enhanced Expansion Pack: Pokémon Card 151,強化拡張パック ポケモンカード151,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/151_(TCG)
SVD,"July 7, 2023",ex Start Decks,exスタートデッキ,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Ex_Start_Decks_(TCG)
SV3,"July 28, 2023",Ruler of the Black Flame,黒炎の支配者,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Obsidian_Flames_(TCG)
SVF,"July 28, 2023",Ruler of the Black Flame Deck Build Box,デッキビルドBOX 黒炎の支配者,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Ruler_of_the_Black_Flame_Deck_Build_Box_(TCG)
WCS23,"July 28, 2023",Pokémon World Championships 2023 Yokohama Deck -Pikachu-,ポケモンワールドチャンピオンシップス2023横浜 記念デッキ「ピカチュウ」,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/2023_World_Championships_Yokohama_Deck:_Pikachu_(TCG)
SV3a,"September 22, 2023",Enhanced Expansion Pack: Raging Surf,強化拡張パック レイジングサーフ,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Raging_Surf_(TCG)
SVEM,"September 22, 2023",Terastal Starter Set Mewtwo ex,スターターセットテラスタルミュウツーex,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Terastal_Starter_Sets_(TCG)
SVEL,"September 22, 2023",Terastal Starter Set Skeledirge ex,スターターセットテラスタルラウドボーンex,,,,,,,,,,,,,
SV4K,"October 27, 2023",Ancient Roar,古代の咆哮,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Paradox_Rift_(TCG)
SV4M,"October 27, 2023",Future Flash,未来の一閃,,,,,,,,,,,,,
SVG,November 2023,Venusaur & Charizard & Blastoise Special Deck Set ex,スペシャルデッキセットex フシギバナ・リザードン・カメックス,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Venusaur_%26_Charizard_%26_Blastoise_Special_Deck_Set_ex_(TCG)
SV4a,"December 1, 2023",High Class Pack: Shiny Treasure ex,ハイクラスパック シャイニートレジャーex,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Paldean_Fates_(TCG)
SV5K,"January 26, 2024",Wild Force,ワイルドフォース,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Temporal_Forces_(TCG)
SV5M,"January 26, 2024",Cyber Judge,サイバージャッジ,,,,,,,,,,,,,
SVHK,"January 26, 2024",Ancient Koraidon ex Starter Deck & Build Set,スターターデッキ＆ビルドセット「古代のコライドンex」,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Starter_Deck_%26_Build_Sets_(TCG)
SVHM,"January 26, 2024",Future Miraidon ex Starter Deck & Build Set,スターターデッキ＆ビルドセット「未来のミライドンex」,,,,,,,,,,,,,
SVI,"March 8, 2024",Pokémon Card Game Scarlet & Violet: Battle Academy,ポケモンカードゲーム スカーレット&バイオレット バトルアカデミー,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Card_Game_Battle_Academy_(TCG)
SV5a,"March 22, 2024",Enhanced Expansion Pack: Crimson Haze,強化拡張パック クリムゾンヘイズ,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Crimson_Haze_(TCG)
SV6,"April 26, 2024",Transformation Mask, 変幻の仮面,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Twilight_Masquerade_(TCG)
SVJL,"May 17, 2024",Battle Master Deck Terastal Charizard ex,バトルマスターデッキ テラスタル リザードンex,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Battle_Master_Decks_(TCG)
SVJP,"May 17, 2024",Battle Master Deck Chien-Pao ex,バトルマスターデッキ パオジアンex,,,,,,,,,,,,,
SV6a,"June 7, 2024",Enhanced Expansion Pack: Night Wanderer,強化拡張パック ナイトワンダラー,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Shrouded_Fable_(TCG)
SV7,"July 19, 2024",Stellar Miracle,ステラミラクル,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Stellar_Crown_(TCG)
SVK,"July 19, 2024",Stellar Miracle Deck Build Box,デッキビルドBOX ステラミラクル,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Stellar_Miracle_Deck_Build_Box_(TCG)
SVLN,"August 30, 2024",Stellar Tera Type Starter Set Sylveon ex,スターターセット テラスタイプ：ステラ ニンフィアex,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Stellar_Tera_Type_Starter_Sets_(TCG)
SVLS,"August 30, 2024",Stellar Tera Type Starter Set Ceruledge ex,スターターセット テラスタイプ：ステラ ソウブレイズex,,,,,,,,,,,,,
SV7a,"September 13, 2024",Enhanced Expansion Pack: Paradise Dragona,強化拡張パック 楽園ドラゴーナ,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Paradise_Dragona_(TCG)
,"October 18, 2024",Super Electric Breaker,超電ブレイカー,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Super_Electric_Breaker_(TCG)
,"November 22, 2024",Generations Start Decks,スタートデッキGenerations,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Generations_Start_Decks_(TCG)
,"December 6, 2024",High Class Pack: Terastal Fest ex,"ハイクラスパック テラスタルフェスex	",,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Terastal_Fest_ex_(TCG)
,"January 24, 2025",Battle Partners,バトルパートナーズ,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Battle_Partners_(TCG)
,"January 24, 2025",Collection File Sets,コレクションファイルセット,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Collection_File_Sets_(TCG)
,"February 21, 2025",ex Starter Set Steven's Beldum & Metagross ex,スターターセットex ダイゴのダンバル&メタグロスex,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Ex_Starter_Set_Steven%27s_Beldum_%26_Metagross_ex_(TCG)
,"February 21, 2025",ex Starter Set Marnie's Morpeko & Grimmsnarl ex,スターターセットex マリィのモルペコ&オーロンゲex,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Ex_Starter_Set_Marnie%27s_Morpeko_%26_Grimmsnarl_ex_(TCG)
Promotional sets,,,,,,,,,,,,,,,,
Unnumbered Promos,October 1996 - Present,Unnumbered Promos,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Unnumbered_Promotional_cards_(TCG),https://bulbapedia.bulbagarden.net/wiki/Unnumbered_Promotional_cards_(TCG)/1996-2005
Cardass Part 1 & Cardass Part 2,1996,Pocket Monsters Carddass Trading Cards - Part 1 & 2,https://pokeboon.com/about-the-series-of-a-bandai-pokemon-carddass/,,,,,,,,,,,,,https://pokeboon.com/all-of-the-bandai-pokemon-carddass-part-1-and-part-2-its-one-of-oldest-pokemon-card/
Cardass Part 3 & Cardass Part 4,1996 - 1997,Pocket Monsters Carddass Trading Cards - Standard Cards (1997) Part 3 & 4,,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Pocket_Monsters_Carddass_Trading_Cards
Vending Blue,"March 23rd, 1998",Vending Machine Series 1 (Blue), 拡張シート,,,,,60%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Vending_Machine_cards_(TCG)
Vending Red,"June 17th, 1998",Vending Machine Series 2 (Red), 拡張シート,,,,,99%,No,No,No,No,No,No,,
Vending Green,"November 24th, 1998",Vending Machine Series 3 (Green), 拡張シート,,,,,60%,No,No,No,No,No,No,,
JSouthern_Islands,"July 17, 1999",Southern Islands,サザンアイランド,,,,,,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Southern_Islands_(TCG)
J Promo,August 2001 - July 2002,J Promotional cards,,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/J_Promotional_cards_(TCG)
PokéPark Forest,"March 18, 2005",PokéPark Premium Files (Forest), ポケパークプレミアムファイル,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9Park_Premium_Files_(TCG)
PokéPark Blue,"March 18, 2005",PokéPark Premium Files (Blue), ポケパークプレミアムファイル,,,,,,,,,,,,,
Melee!,"July 10, 2009",Melee! Pokémon Scramble × Pokémon Card Game,乱戦！ポケモンスクランブル×ポケモンカードゲーム,,,Yes,,100%,,,,,,,,
,October 2023,Pokémon Card Game Classic,ポケモンカードゲーム Classic,,,,,,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Trading_Card_Game_Classic_(TCG)
,,Neo Premium File 1,ポケモンカード★neo プレミアムファイル1,,,,,,,,,,,,,
,,Neo Premium File 2,ポケモンカード★neo プレミアムファイル2,,,,,,,,,,,,,
,,Neo Premium File 3,ポケモンカード★neo プレミアムファイル3,,,,,,,,,,,,,
,,Application Pack - Japanese Space World,アプリケーションパック,,,,,,,,,,,,,